Student_ID,Gender,Age,City,Department,Semester,Matric_Marks,Intermediate_Marks,Entry_Test_Score,Current_CGPA,Previous_Semester_GPA,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Social_Media_Hours,Stress_Level,Motivation_Level,Discipline_Level,Programming_Skill_Level,Python_Knowledge,Java_Knowledge,Database_Knowledge,ML_Knowledge,Web_Development_Skill,GitHub_Projects_Count,Certifications_Count,Internship_Experience,Internship_Duration_Months,Scholarship,Hostel_Resident,Financial_Background,Transport_Mode,Communication_Skill,English_Level,Resume_Score,Job_Applications_Submitted,Offer_Letters_Received,Placement_Status
22,Male,19,Swat,AI,7,964,851,87,3.48,3.07,71,4.7,6.4,1.4,Medium,Medium,Medium,Beginner,3,6,3,4,10,15,5,No,0,No,No,Middle,Walk,9,Average,97,14,0,Placed
23,Male,21,Swat,AI,8,744,651,54,2.24,2.1,57,5.9,6.6,5.9,Medium,Medium,Medium,Intermediate,4,0,8,2,4,1,0,Yes,11,No,Yes,Low,Bike,9,Weak,67,21,1,Placed
24,Male,19,Swat,EE,8,1015,888,68,1.71,1.46,44,4.8,4.8,4.1,High,High,Low,Advanced,8,6,9,9,9,16,3,No,0,No,No,Middle,Bus,7,Weak,87,48,1,Placed
25,Female,20,Lahore,AI,3,904,840,67,1.58,1.37,75,1.1,6.3,0.0,Medium,Low,Low,Advanced,4,7,1,10,3,20,4,No,0,Yes,Yes,High,Car,10,Good,55,3,1,Placed
26,Female,25,Peshawar,IT,8,876,852,86,1.7,1.24,84,2.8,5.4,2.4,Medium,Low,High,Intermediate,6,5,9,4,0,7,1,No,0,Yes,Yes,Middle,Walk,10,Good,32,27,5,Placed
27,Male,24,Swat,BBA,6,853,747,81,3.53,3.58,82,1.3,6.1,1.0,High,Medium,High,Advanced,7,1,5,4,5,12,1,No,0,No,Yes,Low,Bike,9,Average,30,28,0,Placed
28,Male,22,Abbottabad,ME,8,963,681,69,2.88,2.93,47,0.7,8.0,3.8,Medium,High,Low,Beginner,1,3,1,7,1,15,2,No,0,No,No,Middle,Car,5,Good,95,24,1,Placed
29,Female,24,Karachi,BBA,5,896,937,92,3.66,3.61,92,0.5,8.2,4.4,Medium,High,Medium,Advanced,7,5,5,8,8,14,6,Yes,10,No,Yes,Middle,Bus,6,Average,54,45,3,Placed
30,Female,25,Mardan,CS,3,1032,825,42,2.81,2.77,72,7.7,4.5,2.0,High,Low,High,Advanced,2,6,10,2,1,8,7,Yes,6,No,No,High,Walk,6,Weak,80,4,1,Placed
31,Female,24,Karachi,IT,2,766,1007,37,2.23,2.1,68,1.7,4.1,1.8,Low,Medium,High,Beginner,2,3,8,6,9,5,2,No,0,Yes,No,High,Car,3,Fluent,40,16,3,Placed
32,Female,22,Mardan,SE,2,1092,817,62,2.64,2.44,68,7.6,5.5,5.9,High,High,Medium,Advanced,6,7,1,3,6,18,5,Yes,11,No,No,Low,Bus,5,Average,67,18,1,Placed
33,Male,22,Abbottabad,SE,2,617,896,76,3.33,2.92,97,5.2,7.9,0.2,High,Medium,Low,Beginner,4,5,6,2,3,17,2,No,0,Yes,No,Middle,Bike,6,Fluent,97,29,0,Placed
34,Male,26,Swat,BBA,2,788,944,63,2.96,3.28,90,3.5,4.6,1.6,High,Medium,Low,Intermediate,5,1,10,3,7,19,0,Yes,11,Yes,No,High,Bike,9,Weak,71,8,0,Placed
35,Male,19,Islamabad,AI,3,1084,876,83,2.97,3.2,64,3.9,7.7,4.0,High,Medium,High,Intermediate,6,10,1,7,9,8,6,Yes,8,No,Yes,Middle,Bus,1,Average,77,41,2,Placed
36,Male,19,Swat,ME,2,625,1002,72,2.11,1.74,82,2.1,8.9,3.8,Low,Low,High,Beginner,9,3,1,8,3,7,3,Yes,5,Yes,Yes,High,Bike,6,Good,48,1,1,Placed
37,Female,18,Lahore,SE,5,632,843,87,3.45,3.46,43,1.5,4.6,2.5,Medium,High,Medium,Beginner,1,7,8,3,9,16,0,Yes,1,No,No,Middle,Bus,5,Weak,88,4,0,Placed
38,Female,20,Mardan,DS,6,909,820,42,3.48,3.09,64,8.0,6.3,3.2,Medium,Medium,Medium,Advanced,10,10,8,3,6,7,7,No,0,No,No,High,Bus,7,Fluent,73,42,2,Placed
39,Male,19,Abbottabad,IT,2,666,884,37,2.97,3.03,45,3.7,5.9,4.5,Low,Low,Medium,Intermediate,5,10,1,6,5,1,6,No,0,Yes,Yes,Low,Walk,5,Average,69,35,2,Placed
40,Male,24,Peshawar,CS,5,773,779,30,1.95,1.59,41,1.9,5.5,4.2,Medium,Medium,High,Beginner,10,6,1,2,10,2,0,No,0,No,No,Middle,Car,9,Average,57,20,4,Placed
41,Male,18,Peshawar,IT,5,739,710,95,1.78,1.71,68,5.5,6.2,2.9,Low,Low,Medium,Intermediate,4,10,10,9,7,9,8,No,0,Yes,Yes,Low,Bike,1,Fluent,58,18,2,Placed
42,Male,20,Islamabad,SE,7,1012,781,39,2.49,2.73,74,5.8,8.2,3.0,Low,High,Medium,Beginner,6,0,7,1,5,18,6,No,0,Yes,No,Low,Bike,7,Average,83,44,2,Placed
43,Female,24,Islamabad,EE,2,998,686,39,2.78,2.39,65,7.0,5.1,4.5,High,Low,Low,Advanced,8,3,5,5,10,7,2,No,0,Yes,Yes,High,Car,2,Fluent,48,49,5,Placed
44,Male,23,Islamabad,BBA,3,740,902,37,2.38,1.95,68,1.0,5.5,2.7,Medium,High,Medium,Beginner,7,7,0,0,5,2,4,No,0,No,Yes,Middle,Car,2,Good,94,32,1,Placed
45,Female,19,Swat,SE,1,912,681,76,2.43,2.21,55,5.8,6.6,5.9,Medium,Low,High,Advanced,6,5,10,9,0,2,5,No,0,No,No,High,Car,6,Fluent,42,42,1,Placed
46,Male,20,Karachi,IT,5,943,959,97,1.73,1.9,75,3.3,8.1,4.7,Low,High,High,Intermediate,8,5,0,5,4,6,2,Yes,4,Yes,Yes,Low,Bike,6,Average,92,47,4,Placed
47,Female,24,Mardan,SE,3,684,969,86,1.61,1.47,51,6.7,8.0,4.6,Medium,Medium,Medium,Beginner,3,7,9,4,7,17,3,No,0,Yes,No,High,Walk,4,Average,69,32,4,Placed
48,Male,22,Swat,CS,8,864,1035,45,2.21,2.47,95,3.3,7.6,5.6,Low,Medium,Low,Beginner,4,7,8,2,6,7,1,Yes,7,Yes,No,High,Bike,8,Good,74,23,1,Placed
49,Female,20,Peshawar,SE,1,988,961,90,2.62,2.13,58,7.4,8.2,2.8,Low,Medium,High,Beginner,1,0,4,3,2,19,8,Yes,5,Yes,No,Low,Bus,9,Fluent,84,50,4,Placed
50,Male,26,Swat,CS,4,723,892,83,1.97,2.14,85,1.6,7.1,2.6,Medium,Medium,High,Beginner,8,5,1,8,8,16,8,No,0,No,Yes,High,Walk,9,Weak,32,1,2,Placed
51,Female,23,Abbottabad,SE,1,998,950,89,3.95,3.93,62,4.6,4.9,4.9,Medium,Low,High,Beginner,2,2,1,7,0,6,4,Yes,6,No,No,High,Walk,1,Good,55,12,2,Placed
52,Female,22,Mardan,IT,6,797,773,53,2.74,2.74,67,7.2,8.5,4.5,High,Medium,Medium,Advanced,8,4,1,6,1,19,6,No,0,No,Yes,Low,Bike,3,Fluent,99,28,4,Placed
53,Female,23,Swat,ME,1,740,927,37,1.69,1.83,86,7.0,9.0,2.1,High,Low,High,Intermediate,5,8,10,2,0,19,2,Yes,2,Yes,No,Middle,Walk,8,Fluent,34,9,5,Placed
54,Female,19,Karachi,SE,6,613,976,53,2.75,2.64,65,2.9,8.8,1.7,High,Medium,Low,Beginner,8,1,4,4,7,19,3,Yes,2,Yes,Yes,Middle,Car,5,Good,92,43,2,Placed
55,Male,22,Islamabad,SE,3,1005,671,60,3.48,3.01,90,3.2,8.9,1.3,Medium,High,Low,Intermediate,8,9,5,7,8,19,2,No,0,No,No,High,Walk,2,Good,38,8,2,Placed
56,Female,20,Abbottabad,SE,3,865,678,68,1.91,1.73,67,4.3,8.2,5.2,High,High,Low,Advanced,3,5,8,4,1,6,4,Yes,11,No,Yes,High,Car,9,Weak,65,10,5,Placed
57,Male,18,Swat,IT,1,992,892,83,3.05,2.58,100,5.3,7.3,3.5,Medium,Medium,Medium,Advanced,10,8,4,10,4,7,7,No,0,Yes,Yes,Low,Walk,7,Good,68,13,2,Placed
58,Female,23,Mardan,EE,3,838,662,64,2.62,2.26,88,3.3,5.6,3.4,Medium,Low,Low,Beginner,0,4,6,9,6,5,3,Yes,3,No,No,Middle,Bike,6,Good,70,25,4,Placed
59,Male,18,Mardan,CS,5,746,874,31,3.62,3.55,71,5.0,7.4,5.1,High,Medium,High,Beginner,4,5,6,5,0,1,6,No,0,No,Yes,Middle,Walk,10,Fluent,54,43,4,Placed
60,Female,23,Swat,BBA,6,620,623,34,1.84,1.67,88,1.6,6.0,3.6,High,High,Medium,Advanced,7,8,7,2,9,4,8,Yes,7,No,No,High,Walk,6,Weak,70,30,0,Placed
61,Female,24,Abbottabad,DS,1,997,896,59,3.3,3.38,78,4.1,7.9,5.8,Medium,High,Low,Advanced,2,8,10,9,6,7,2,Yes,1,No,No,Middle,Car,1,Weak,44,26,4,Placed
62,Female,20,Swat,AI,6,835,1067,98,2.36,2.21,82,4.1,8.8,2.3,Medium,Medium,Medium,Beginner,10,10,4,9,7,7,3,Yes,5,No,Yes,High,Walk,5,Fluent,68,35,5,Placed
63,Male,24,Peshawar,BBA,3,1073,826,62,3.37,3.08,58,0.8,4.4,5.7,Medium,Medium,High,Advanced,8,4,8,4,2,19,1,Yes,1,Yes,Yes,Low,Bus,10,Average,60,30,0,Placed
64,Male,24,Abbottabad,ME,8,930,630,41,3.13,2.86,81,2.0,5.6,5.8,Medium,High,High,Advanced,0,2,6,2,0,15,6,Yes,1,No,Yes,Middle,Bike,3,Fluent,67,33,3,Placed
65,Male,22,Islamabad,AI,2,695,607,73,3.48,3.55,61,1.7,5.3,2.8,Medium,Low,Low,Intermediate,3,2,9,10,6,16,6,No,0,Yes,Yes,Low,Walk,6,Good,41,16,3,Placed
66,Male,22,Lahore,CS,5,838,757,50,2.51,2.51,81,3.2,7.3,1.4,High,High,Low,Intermediate,4,1,10,4,5,7,3,Yes,8,No,No,High,Walk,3,Good,91,48,1,Placed
67,Male,19,Islamabad,IT,1,676,684,71,3.64,3.58,93,4.6,6.9,3.0,High,Medium,High,Intermediate,10,3,9,7,1,14,8,Yes,9,No,No,High,Bus,1,Weak,88,19,5,Placed
68,Female,21,Lahore,IT,1,1078,1057,38,3.97,3.94,67,3.1,9.0,0.4,High,Medium,Low,Beginner,4,6,2,2,10,11,6,No,0,No,Yes,High,Car,7,Average,87,11,4,Placed
69,Male,18,Lahore,CS,5,1021,717,61,2.65,2.31,69,5.6,6.7,3.3,Low,High,Low,Beginner,3,1,0,10,6,7,0,Yes,10,Yes,No,High,Bus,4,Weak,38,25,3,Placed
70,Male,20,Swat,DS,4,995,944,71,2.09,2.47,92,7.4,6.9,3.5,High,Medium,High,Intermediate,10,8,3,6,4,1,4,No,0,No,Yes,Middle,Walk,9,Average,52,26,3,Placed
71,Male,26,Abbottabad,ME,4,837,1068,37,2.91,3.38,94,2.2,4.7,5.1,Low,Medium,Medium,Beginner,8,8,2,6,3,6,4,No,0,No,Yes,High,Car,6,Average,40,43,4,Placed
72,Female,26,Abbottabad,AI,8,607,708,54,3.91,3.53,53,7.0,8.8,2.0,Medium,High,Medium,Intermediate,7,3,9,3,6,17,3,No,0,No,No,Middle,Bike,6,Average,66,29,0,Placed
73,Male,23,Lahore,BBA,7,733,883,83,2.24,1.94,42,4.7,4.7,1.3,Low,Low,High,Advanced,3,6,9,3,7,20,8,No,0,No,No,Low,Bike,6,Weak,62,34,3,Placed
74,Female,26,Abbottabad,CS,2,670,1031,59,1.67,1.32,100,6.6,4.0,0.3,High,Medium,Low,Beginner,3,8,7,5,0,15,7,No,0,Yes,Yes,High,Bike,1,Weak,30,32,5,Placed
75,Male,19,Islamabad,SE,4,1007,803,40,2.43,2.34,52,5.1,5.8,1.5,Low,High,Low,Intermediate,9,3,3,4,10,20,1,No,0,No,No,High,Walk,1,Good,41,44,1,Placed
76,Female,19,Abbottabad,CS,4,738,623,39,3.21,2.99,53,7.3,6.8,4.2,High,Medium,High,Advanced,8,9,10,0,2,0,5,No,0,Yes,No,Low,Car,4,Average,48,34,2,Placed
77,Male,19,Islamabad,BBA,1,993,914,80,3.92,3.75,46,3.8,5.7,5.0,Low,High,Low,Advanced,10,4,7,7,3,17,5,Yes,11,No,Yes,High,Bike,7,Average,85,5,2,Placed
78,Male,24,Lahore,BBA,6,989,738,43,1.83,1.52,46,1.2,6.2,5.7,Medium,Medium,Low,Advanced,7,8,8,8,6,0,1,Yes,10,No,No,Low,Bike,2,Average,75,46,4,Placed
79,Male,24,Swat,SE,3,822,741,83,2.25,2.53,57,2.8,4.3,3.0,Medium,Medium,Medium,Intermediate,5,4,3,10,7,14,3,No,0,Yes,No,Middle,Walk,2,Average,47,27,5,Placed
80,Female,25,Mardan,BBA,3,851,1095,61,2.31,2.09,65,7.8,7.5,1.7,Medium,High,Medium,Intermediate,6,5,1,9,3,5,8,No,0,Yes,No,Middle,Bus,9,Average,33,8,5,Placed
81,Male,24,Islamabad,EE,2,859,1072,83,2.86,3.15,68,7.9,6.0,2.9,Low,Low,Medium,Intermediate,5,8,9,10,1,7,1,Yes,10,No,No,Middle,Bus,6,Fluent,51,14,4,Placed
82,Male,25,Lahore,SE,6,643,659,48,2.37,2.21,41,4.1,8.6,1.8,High,Low,High,Beginner,3,8,7,5,7,14,1,Yes,5,Yes,Yes,Low,Bike,8,Average,70,10,5,Placed
83,Female,23,Lahore,EE,8,936,821,80,1.57,1.68,54,6.5,4.9,3.8,Low,Medium,Low,Advanced,3,7,9,6,6,6,0,Yes,10,Yes,Yes,Middle,Bike,4,Good,65,16,5,Placed
84,Male,24,Lahore,EE,2,944,961,68,3.8,3.89,62,3.1,4.9,2.7,High,Medium,Medium,Beginner,10,2,5,1,3,3,4,Yes,9,No,No,High,Car,3,Fluent,77,11,3,Placed
85,Female,22,Lahore,SE,3,1087,604,92,1.84,2.16,60,6.8,8.3,3.7,Medium,Low,High,Advanced,8,8,10,7,6,13,7,Yes,2,Yes,Yes,Middle,Bus,8,Fluent,92,18,1,Placed
86,Female,26,Mardan,IT,2,1021,987,35,3.4,3.34,57,6.3,5.8,4.9,Low,High,High,Advanced,3,6,1,10,3,1,4,No,0,Yes,No,Low,Car,8,Average,63,44,2,Placed
87,Female,21,Islamabad,AI,1,765,960,67,2.22,1.99,76,3.1,6.7,1.7,Medium,Low,High,Intermediate,8,10,1,2,6,8,0,Yes,3,No,Yes,High,Walk,3,Weak,46,40,2,Placed
88,Female,19,Abbottabad,EE,5,767,897,30,3.67,4.0,84,7.5,8.8,2.2,Medium,Medium,High,Intermediate,1,7,10,10,5,17,1,No,0,Yes,No,Middle,Bike,7,Weak,57,36,1,Placed
89,Male,18,Karachi,IT,8,600,1090,84,2.01,2.2,41,1.4,6.2,5.1,High,High,Low,Beginner,2,10,4,2,4,20,1,Yes,6,Yes,Yes,Middle,Bike,6,Weak,62,27,5,Placed
90,Male,21,Lahore,ME,2,604,956,73,3.54,4.0,48,5.0,6.2,3.1,Low,High,High,Advanced,6,2,7,1,3,2,6,No,0,No,No,Low,Walk,2,Average,43,9,0,Placed
91,Female,25,Swat,BBA,4,826,1040,57,1.72,1.32,80,6.1,7.1,5.5,Low,High,High,Advanced,1,9,6,5,6,4,5,Yes,4,No,Yes,High,Bike,4,Weak,65,32,1,Placed
92,Female,21,Islamabad,ME,7,1055,1100,31,3.97,4.0,47,2.3,4.4,3.8,Low,Low,Medium,Advanced,2,6,9,6,5,5,8,Yes,10,Yes,Yes,Middle,Car,8,Fluent,39,32,2,Placed
93,Male,19,Peshawar,SE,5,1013,679,98,2.32,2.41,45,2.8,5.0,3.1,Medium,High,High,Beginner,10,10,10,1,4,7,6,Yes,7,Yes,No,High,Bus,1,Average,61,42,5,Placed
94,Male,18,Lahore,SE,8,732,685,77,1.82,2.1,100,3.1,8.1,3.1,High,Low,Medium,Advanced,4,1,0,5,6,16,4,Yes,8,No,No,Low,Walk,2,Weak,63,10,2,Placed
95,Male,21,Islamabad,CS,1,796,1071,49,1.95,2.41,94,7.0,6.4,1.5,Low,Low,High,Intermediate,0,8,10,6,3,7,5,No,0,Yes,No,Low,Bus,7,Good,70,2,3,Placed
96,Male,23,Islamabad,IT,8,978,918,61,2.66,2.75,40,3.3,7.9,1.7,High,High,Medium,Intermediate,7,3,8,3,2,13,0,No,0,Yes,No,Low,Walk,1,Weak,59,6,1,Placed
97,Female,20,Islamabad,DS,2,958,1058,77,2.65,2.9,42,7.4,6.6,5.4,Medium,Medium,High,Intermediate,9,1,8,2,10,2,6,No,0,Yes,Yes,Middle,Bike,10,Average,37,47,2,Placed
98,Female,19,Swat,AI,3,830,838,70,2.52,2.56,89,6.3,4.5,0.7,Medium,Medium,High,Beginner,3,7,4,7,4,2,1,Yes,4,No,Yes,Low,Car,3,Weak,68,3,5,Placed
99,Female,24,Abbottabad,ME,4,606,631,58,1.83,2.15,46,4.0,4.7,4.8,Low,Low,Medium,Advanced,5,10,10,10,1,2,4,Yes,11,No,Yes,Low,Bike,1,Fluent,38,3,1,Placed
100,Male,25,Islamabad,CS,7,740,743,87,3.71,3.24,83,3.7,8.5,2.1,Low,High,High,Advanced,9,9,3,10,4,13,7,Yes,2,No,No,Low,Walk,9,Good,91,15,5,Placed
101,Female,25,Abbottabad,ME,6,613,763,58,1.57,1.88,98,4.7,5.4,1.9,Medium,Low,Low,Advanced,4,0,7,8,5,5,3,Yes,5,Yes,Yes,High,Walk,2,Good,61,15,4,Placed
102,Male,18,Abbottabad,BBA,3,1096,852,99,2.27,2.26,76,7.6,8.1,5.0,Medium,Low,Low,Beginner,1,0,3,9,3,16,0,No,0,Yes,Yes,Middle,Car,8,Good,30,9,4,Placed
103,Male,19,Mardan,BBA,7,680,974,85,3.48,3.94,77,1.3,4.7,1.8,High,Low,High,Advanced,10,5,2,8,9,7,5,No,0,No,No,Low,Car,10,Good,52,36,3,Placed
104,Female,21,Swat,IT,8,763,685,41,3.55,3.72,49,3.0,5.7,0.5,High,Medium,Low,Advanced,5,7,0,4,3,2,3,Yes,12,Yes,Yes,Middle,Walk,6,Fluent,62,26,3,Placed
105,Female,19,Karachi,ME,4,610,763,63,3.88,3.45,50,3.9,4.2,4.8,Low,Medium,Low,Intermediate,2,6,2,1,8,10,1,Yes,7,Yes,No,Low,Bus,10,Good,91,12,3,Placed
106,Female,21,Mardan,IT,1,784,601,84,1.72,2.04,65,4.8,4.8,5.0,Medium,High,Medium,Intermediate,10,9,7,3,1,6,0,Yes,8,Yes,No,Middle,Walk,3,Fluent,67,5,5,Placed
107,Male,23,Lahore,SE,8,737,888,37,1.88,2.08,42,2.5,5.1,2.8,Medium,Medium,Low,Advanced,1,1,10,5,8,18,6,Yes,7,No,No,High,Car,4,Average,100,25,5,Placed
108,Female,19,Peshawar,ME,3,664,621,84,1.7,1.88,100,7.9,8.0,5.8,Low,High,High,Intermediate,3,10,2,9,4,2,5,No,0,No,No,High,Walk,2,Average,79,37,4,Placed
109,Female,20,Swat,IT,2,1050,776,82,2.16,2.31,76,6.3,8.3,4.7,Medium,Medium,Low,Intermediate,9,9,7,0,2,12,4,Yes,7,No,Yes,Low,Walk,3,Weak,81,21,2,Placed
110,Male,21,Swat,SE,5,813,909,41,1.97,1.68,87,3.8,5.3,5.0,Low,Low,Low,Advanced,6,7,8,5,0,5,8,No,0,Yes,Yes,Low,Car,2,Average,69,2,3,Placed
111,Female,22,Karachi,BBA,8,723,790,92,2.99,2.67,72,3.5,7.4,5.5,Low,High,Low,Intermediate,7,9,8,5,5,8,2,Yes,7,Yes,Yes,High,Car,2,Weak,66,43,1,Placed
112,Female,18,Karachi,ME,3,911,1012,69,3.28,3.49,81,1.8,5.1,4.8,High,High,High,Beginner,4,6,6,5,7,6,4,No,0,Yes,Yes,High,Bike,8,Fluent,68,38,2,Placed
113,Male,19,Swat,BBA,5,1087,1056,68,1.97,1.99,80,2.9,7.3,1.7,High,Low,High,Advanced,3,0,9,6,10,4,5,No,0,No,No,Middle,Walk,1,Average,93,45,4,Placed
114,Male,26,Abbottabad,ME,6,885,692,67,1.74,1.37,72,2.8,7.3,1.0,High,Medium,Medium,Advanced,4,8,2,10,5,7,1,No,0,No,No,Middle,Bike,6,Weak,58,7,3,Placed
115,Female,25,Abbottabad,AI,2,1045,1037,49,1.84,1.54,95,5.6,6.1,3.2,Low,Low,High,Beginner,6,9,7,2,5,2,2,Yes,6,Yes,Yes,Middle,Bike,8,Average,72,48,1,Placed
116,Female,24,Islamabad,EE,7,702,974,77,3.88,4.0,67,7.7,4.2,2.3,Low,Medium,Medium,Advanced,8,3,0,10,0,7,3,Yes,2,No,No,Low,Bus,6,Average,69,29,5,Placed
117,Female,23,Islamabad,ME,6,806,609,59,2.06,2.54,88,1.9,8.6,5.7,High,Low,Low,Intermediate,3,0,9,8,2,11,1,No,0,Yes,Yes,High,Bus,1,Weak,78,44,0,Placed
118,Male,26,Lahore,DS,8,754,815,42,3.16,2.93,84,1.6,7.2,4.2,Medium,High,Medium,Intermediate,9,2,6,1,8,9,1,No,0,Yes,Yes,Middle,Car,2,Average,43,18,1,Placed
119,Male,25,Peshawar,BBA,4,893,942,93,1.87,1.46,40,0.6,4.6,0.5,Medium,Medium,High,Beginner,8,1,1,4,10,14,3,No,0,Yes,Yes,Low,Bus,5,Weak,63,20,3,Placed
120,Male,20,Lahore,SE,6,975,647,77,3.54,3.22,62,7.2,5.3,5.7,High,Medium,High,Intermediate,6,6,7,4,6,13,7,Yes,12,Yes,Yes,Low,Walk,3,Good,44,43,3,Placed
121,Male,18,Lahore,SE,8,632,733,70,1.53,1.9,98,4.2,6.2,5.3,Low,High,High,Intermediate,8,9,9,3,10,16,5,No,0,Yes,No,Middle,Walk,9,Fluent,42,3,0,Placed
122,Female,20,Lahore,IT,8,714,881,78,2.51,2.24,60,2.3,4.3,5.8,Low,High,High,Advanced,7,7,9,7,1,14,7,No,0,Yes,Yes,Middle,Walk,6,Average,45,0,0,Placed
123,Male,25,Swat,BBA,6,886,992,90,3.29,3.15,92,0.9,6.3,1.3,Low,High,High,Advanced,7,1,1,10,3,10,0,No,0,Yes,Yes,Low,Walk,6,Average,67,46,3,Placed
124,Male,21,Islamabad,IT,7,655,987,83,1.62,1.75,53,3.9,7.6,4.7,High,High,Low,Advanced,10,9,1,7,7,4,8,Yes,9,No,No,High,Car,8,Good,30,46,1,Placed
